from,to,datetime_stamp,call_duration,status,source_department,destination_department,call_type,rate_per_min,cost
400,431,2026-04-14 19:00:33,1705,pickedup,Marketing,Manufacturing,Internal,0.5,14.21
314,430,2026-04-03 05:41:26,998,pickedup,Marketing,IT,Internal,0.5,8.32
326,403,2026-01-15 04:35:21,0,notpickedup,Finance,IT,Internal,0.5,0.0
402,302,2026-06-07 12:15:17,439,pickedup,IT,IT,Internal,0.5,3.66
444,400,2026-02-24 13:25:03,1272,pickedup,IT,Marketing,Internal,0.5,10.6
394,476,2026-06-08 17:03:55,489,pickedup,Manufacturing,Marketing,Internal,0.5,4.08
326,374,2026-07-29 01:38:19,0,engaged,Finance,Finance,Internal,0.5,0.0
489,430,2026-01-21 22:41:43,0,notpickedup,Finance,IT,Internal,0.5,0.0
495,365,2026-05-23 12:56:44,0,engaged,Marketing,Transport,Internal,0.5,0.0
423,421,2026-02-22 03:50:18,1417,pickedup,Manufacturing,Finance,Internal,0.5,11.81
476,366,2026-05-25 12:10:08,1554,pickedup,Marketing,Manufacturing,Internal,0.5,12.95
466,455,2026-05-03 02:00:45,0,engaged,Transport,IT,Internal,0.5,0.0
344,366,2026-03-24 12:37:00,424,pickedup,IT,Manufacturing,Internal,0.5,3.53
395,391,2026-04-03 11:32:42,47,pickedup,Transport,Finance,Internal,0.5,0.39
394,379,2026-07-20 08:53:12,343,pickedup,Manufacturing,Marketing,Internal,0.5,2.86
455,319,2026-08-04 23:37:25,0,engaged,IT,IT,Internal,0.5,0.0
364,307,2026-03-21 08:01:31,182,pickedup,Manufacturing,Transport,Internal,0.5,1.52
500,391,2026-01-02 23:57:55,1419,pickedup,Finance,Finance,Internal,0.5,11.82
447,357,2026-01-10 08:42:56,650,pickedup,Finance,Manufacturing,Internal,0.5,5.42
319,391,2026-08-08 13:50:26,652,pickedup,IT,Finance,Internal,0.5,5.43
489,349,2026-07-06 00:08:57,1269,pickedup,Finance,Marketing,Internal,0.5,10.57
382,455,2026-07-29 03:27:36,139,pickedup,Transport,IT,Internal,0.5,1.16
354,377,2026-07-04 05:20:38,1248,pickedup,Marketing,Marketing,Internal,0.5,10.4
416,389,2026-07-29 20:38:16,1305,pickedup,Finance,IT,Internal,0.5,10.88
443,302,2026-07-24 22:53:08,1271,pickedup,Marketing,IT,Internal,0.5,10.59
358,332,2026-08-06 14:38:56,0,engaged,IT,Marketing,Internal,0.5,0.0
356,379,2026-03-08 05:25:09,1538,pickedup,IT,Marketing,Internal,0.5,12.82
402,368,2026-01-12 08:11:35,0,notpickedup,IT,IT,Internal,0.5,0.0
339,365,2026-07-17 10:52:51,160,pickedup,Marketing,Transport,Internal,0.5,1.33
472,412,2026-06-14 10:29:21,58,pickedup,Transport,Finance,Internal,0.5,0.48
344,396,2026-06-24 00:10:46,1496,pickedup,IT,Marketing,Internal,0.5,12.47
331,364,2026-01-06 01:20:04,0,notpickedup,Marketing,Manufacturing,Internal,0.5,0.0
403,466,2026-02-27 23:03:52,540,pickedup,IT,Transport,Internal,0.5,4.5
475,382,2026-07-17 12:04:47,1460,pickedup,Finance,Transport,Internal,0.5,12.17
380,343,2026-07-17 05:10:46,291,pickedup,Transport,Manufacturing,Internal,0.5,2.42
495,354,2026-02-03 17:46:11,0,notpickedup,Marketing,Marketing,Internal,0.5,0.0
335,394,2026-03-22 03:47:44,1594,pickedup,Manufacturing,Manufacturing,Internal,0.5,13.28
328,356,2026-07-20 18:03:03,822,pickedup,Transport,IT,Internal,0.5,6.85
350,328,2026-01-01 20:25:26,629,pickedup,Transport,Transport,Internal,0.5,5.24
473,349,2026-01-26 02:23:37,584,pickedup,Marketing,Marketing,Internal,0.5,4.87
344,384,2026-05-26 21:04:00,1126,pickedup,IT,IT,Internal,0.5,9.38
403,479,2026-03-29 13:57:11,1701,pickedup,IT,Manufacturing,Internal,0.5,14.18
459,350,2026-04-15 02:18:04,952,pickedup,Marketing,Transport,Internal,0.5,7.93
472,407,2026-07-23 01:21:21,0,notpickedup,Transport,Transport,Internal,0.5,0.0
304,445,2026-05-30 13:40:54,0,notpickedup,IT,IT,Internal,0.5,0.0
440,340,2026-01-16 13:32:03,0,notpickedup,IT,IT,Internal,0.5,0.0
479,380,2026-06-12 12:59:51,1359,pickedup,Manufacturing,Transport,Internal,0.5,11.32
327,368,2026-01-26 17:13:51,0,notpickedup,Transport,IT,Internal,0.5,0.0
319,416,2026-03-15 06:22:46,531,pickedup,IT,Finance,Internal,0.5,4.42
365,472,2026-04-16 21:55:26,1632,pickedup,Transport,Transport,Internal,0.5,13.6
356,412,2026-07-22 15:06:17,0,notpickedup,IT,Finance,Internal,0.5,0.0
440,371,2026-06-28 07:17:26,1493,pickedup,IT,IT,Internal,0.5,12.44
337,382,2026-05-28 09:43:16,1122,pickedup,Transport,Transport,Internal,0.5,9.35
318,412,2026-02-04 15:10:57,0,engaged,Transport,Finance,Internal,0.5,0.0
440,328,2026-06-24 01:37:38,0,notpickedup,IT,Transport,Internal,0.5,0.0
328,320,2026-06-10 07:22:55,0,notpickedup,Transport,Manufacturing,Internal,0.5,0.0
471,423,2026-01-22 20:11:51,1199,pickedup,IT,Manufacturing,Internal,0.5,9.99
357,455,2026-02-13 10:01:25,0,engaged,Manufacturing,IT,Internal,0.5,0.0
481,332,2026-01-13 14:02:35,683,pickedup,IT,Marketing,Internal,0.5,5.69
473,391,2026-01-09 00:14:10,258,pickedup,Marketing,Finance,Internal,0.5,2.15
491,422,2026-07-04 23:50:11,1786,pickedup,Manufacturing,Transport,Internal,0.5,14.88
389,444,2026-01-31 13:54:37,1501,pickedup,IT,IT,Internal,0.5,12.51
357,479,2026-04-17 16:11:04,786,pickedup,Manufacturing,Manufacturing,Internal,0.5,6.55
396,439,2026-06-17 17:19:03,812,pickedup,Marketing,IT,Internal,0.5,6.77
427,496,2026-07-30 03:29:33,124,pickedup,Manufacturing,Transport,Internal,0.5,1.03
382,389,2026-03-04 22:26:33,0,engaged,Transport,IT,Internal,0.5,0.0
351,364,2026-04-17 05:35:45,0,notpickedup,Manufacturing,Manufacturing,Internal,0.5,0.0
445,472,2026-05-08 21:23:28,0,notpickedup,IT,Transport,Internal,0.5,0.0
473,357,2026-04-15 14:44:43,0,notpickedup,Marketing,Manufacturing,Internal,0.5,0.0
326,450,2026-03-22 15:58:10,316,pickedup,Finance,Transport,Internal,0.5,2.63
407,447,2026-06-22 02:42:36,0,notpickedup,Transport,Finance,Internal,0.5,0.0
427,363,2026-06-22 06:28:26,1539,pickedup,Manufacturing,Transport,Internal,0.5,12.82
374,366,2026-07-30 21:49:07,0,notpickedup,Finance,Manufacturing,Internal,0.5,0.0
402,377,2026-03-22 06:36:52,1623,pickedup,IT,Marketing,Internal,0.5,13.53
353,350,2026-03-21 14:27:15,186,pickedup,Finance,Transport,Internal,0.5,1.55
364,459,2026-03-22 13:18:24,660,pickedup,Manufacturing,Marketing,Internal,0.5,5.5
360,396,2026-04-01 01:21:04,1217,pickedup,IT,Marketing,Internal,0.5,10.14
407,342,2026-01-10 08:26:19,0,notpickedup,Transport,Finance,Internal,0.5,0.0
494,313,2026-07-18 19:40:27,505,pickedup,Transport,Finance,Internal,0.5,4.21
403,421,2026-01-08 00:06:22,993,pickedup,IT,Finance,Internal,0.5,8.28
343,327,2026-03-14 01:24:46,0,notpickedup,Manufacturing,Transport,Internal,0.5,0.0
316,360,2026-02-21 06:20:06,712,pickedup,Manufacturing,IT,Internal,0.5,5.93
401,439,2026-05-01 08:51:36,1227,pickedup,Marketing,IT,Internal,0.5,10.22
332,413,2026-07-09 00:29:02,1726,pickedup,Marketing,Transport,Internal,0.5,14.38
412,431,2026-06-30 16:37:39,1245,pickedup,Finance,Manufacturing,Internal,0.5,10.38
394,384,2026-03-30 07:52:44,313,pickedup,Manufacturing,IT,Internal,0.5,2.61
427,388,2026-03-21 23:04:41,832,pickedup,Manufacturing,Transport,Internal,0.5,6.93
456,447,2026-05-23 12:27:20,1172,pickedup,Finance,Finance,Internal,0.5,9.77
335,471,2026-04-21 05:05:10,1537,pickedup,Manufacturing,IT,Internal,0.5,12.81
394,423,2026-07-29 04:28:30,0,notpickedup,Manufacturing,Manufacturing,Internal,0.5,0.0
473,331,2026-04-06 16:22:43,581,pickedup,Marketing,Marketing,Internal,0.5,4.84
471,424,2026-07-29 06:40:53,0,engaged,IT,IT,Internal,0.5,0.0
416,394,2026-06-30 13:46:49,0,notpickedup,Finance,Manufacturing,Internal,0.5,0.0
390,327,2026-01-24 07:37:43,0,notpickedup,Manufacturing,Transport,Internal,0.5,0.0
371,428,2026-06-26 06:07:53,632,pickedup,IT,Marketing,Internal,0.5,5.27
390,327,2026-01-15 11:19:07,749,pickedup,Manufacturing,Transport,Internal,0.5,6.24
332,382,2026-02-07 09:16:46,146,pickedup,Marketing,Transport,Internal,0.5,1.22
390,366,2026-06-13 15:33:12,118,pickedup,Manufacturing,Manufacturing,Internal,0.5,0.98
384,320,2026-08-06 23:00:48,58,pickedup,IT,Manufacturing,Internal,0.5,0.48
439,401,2026-06-04 02:23:15,102,pickedup,IT,Marketing,Internal,0.5,0.85
316,421,2026-06-25 06:27:19,0,notpickedup,Manufacturing,Finance,Internal,0.5,0.0
382,318,2026-05-19 15:01:43,0,notpickedup,Transport,Transport,Internal,0.5,0.0
459,327,2026-04-02 13:20:47,1579,pickedup,Marketing,Transport,Internal,0.5,13.16
392,459,2026-04-13 09:45:40,1731,pickedup,Transport,Marketing,Internal,0.5,14.43
459,320,2026-01-02 05:31:20,1420,pickedup,Marketing,Manufacturing,Internal,0.5,11.83
389,319,2026-03-05 01:23:35,757,pickedup,IT,IT,Internal,0.5,6.31
380,307,2026-02-11 07:41:25,91,pickedup,Transport,Transport,Internal,0.5,0.76
313,353,2026-04-05 11:00:38,797,pickedup,Finance,Finance,Internal,0.5,6.64
423,495,2026-01-19 01:56:15,0,engaged,Manufacturing,Marketing,Internal,0.5,0.0
430,365,2026-03-27 18:00:20,378,pickedup,IT,Transport,Internal,0.5,3.15
428,327,2026-07-13 19:06:49,0,engaged,Marketing,Transport,Internal,0.5,0.0
332,314,2026-03-15 07:54:47,0,notpickedup,Marketing,Marketing,Internal,0.5,0.0
500,340,2026-07-31 00:37:32,17,pickedup,Finance,IT,Internal,0.5,0.14
307,342,2026-06-30 12:17:48,0,notpickedup,Transport,Finance,Internal,0.5,0.0
400,416,2026-04-18 08:14:16,1287,pickedup,Marketing,Finance,Internal,0.5,10.72
307,364,2026-04-09 07:47:29,1699,pickedup,Transport,Manufacturing,Internal,0.5,14.16
363,427,2026-06-18 08:52:59,1506,pickedup,Transport,Manufacturing,Internal,0.5,12.55
328,494,2026-04-02 15:14:10,780,pickedup,Transport,Transport,Internal,0.5,6.5
362,469,2026-05-28 03:35:39,0,engaged,Transport,Manufacturing,Internal,0.5,0.0
318,365,2026-01-26 16:44:25,139,pickedup,Transport,Transport,Internal,0.5,1.16
475,340,2026-03-04 12:46:53,801,pickedup,Finance,IT,Internal,0.5,6.67
423,392,2026-07-08 10:29:02,1441,pickedup,Manufacturing,Transport,Internal,0.5,12.01
344,431,2026-05-30 17:04:08,0,notpickedup,IT,Manufacturing,Internal,0.5,0.0
307,430,2026-01-30 04:46:25,152,pickedup,Transport,IT,Internal,0.5,1.27
495,344,2026-03-03 12:31:21,1599,pickedup,Marketing,IT,Internal,0.5,13.32
357,475,2026-01-10 12:39:44,479,pickedup,Manufacturing,Finance,Internal,0.5,3.99
342,471,2026-08-08 16:11:27,993,pickedup,Finance,IT,Internal,0.5,8.28
340,364,2026-02-13 09:15:37,0,notpickedup,IT,Manufacturing,Internal,0.5,0.0
390,455,2026-01-05 10:09:32,1468,pickedup,Manufacturing,IT,Internal,0.5,12.23
331,496,2026-07-24 13:21:17,1319,pickedup,Marketing,Transport,Internal,0.5,10.99
496,402,2026-05-13 02:50:25,0,notpickedup,Transport,IT,Internal,0.5,0.0
344,371,2026-03-23 04:01:26,614,pickedup,IT,IT,Internal,0.5,5.12
500,331,2026-04-23 00:56:20,1796,pickedup,Finance,Marketing,Internal,0.5,14.97
466,332,2026-07-05 05:55:22,556,pickedup,Transport,Marketing,Internal,0.5,4.63
422,307,2026-02-22 02:16:32,200,pickedup,Transport,Transport,Internal,0.5,1.67
445,421,2026-06-16 18:43:37,1232,pickedup,IT,Finance,Internal,0.5,10.27
428,350,2026-05-06 20:22:47,638,pickedup,Marketing,Transport,Internal,0.5,5.32
450,326,2026-03-21 05:21:28,1465,pickedup,Transport,Finance,Internal,0.5,12.21
328,437,2026-07-25 00:26:28,1356,pickedup,Transport,Finance,Internal,0.5,11.3
427,401,2026-04-02 23:28:30,0,engaged,Manufacturing,Marketing,Internal,0.5,0.0
358,304,2026-06-05 06:04:11,1095,pickedup,IT,IT,Internal,0.5,9.12
320,400,2026-03-18 20:43:15,995,pickedup,Manufacturing,Marketing,Internal,0.5,8.29
351,332,2026-02-16 05:36:30,332,pickedup,Manufacturing,Marketing,Internal,0.5,2.77
365,396,2026-03-31 23:33:09,232,pickedup,Transport,Marketing,Internal,0.5,1.93
349,303,2026-01-23 06:10:18,1668,pickedup,Marketing,Marketing,Internal,0.5,13.9
327,471,2026-01-08 21:10:29,0,notpickedup,Transport,IT,Internal,0.5,0.0
344,407,2026-06-14 20:02:49,260,pickedup,IT,Transport,Internal,0.5,2.17
382,328,2026-07-31 03:21:48,1583,pickedup,Transport,Transport,Internal,0.5,13.19
313,331,2026-03-29 22:24:23,0,notpickedup,Finance,Marketing,Internal,0.5,0.0
348,354,2026-02-26 18:59:13,0,notpickedup,Manufacturing,Marketing,Internal,0.5,0.0
316,328,2026-02-24 16:53:39,283,pickedup,Manufacturing,Transport,Internal,0.5,2.36
363,500,2026-02-08 13:08:01,1730,pickedup,Transport,Finance,Internal,0.5,14.42
423,344,2026-07-04 10:38:13,1473,pickedup,Manufacturing,IT,Internal,0.5,12.28
329,328,2026-07-19 10:55:01,523,pickedup,IT,Transport,Internal,0.5,4.36
350,445,2026-06-08 23:26:06,519,pickedup,Transport,IT,Internal,0.5,4.33
374,340,2026-04-09 05:18:39,0,engaged,Finance,IT,Internal,0.5,0.0
430,362,2026-02-07 04:48:33,248,pickedup,IT,Transport,Internal,0.5,2.07
347,407,2026-05-24 23:04:24,0,notpickedup,Finance,Transport,Internal,0.5,0.0
313,447,2026-03-24 03:58:40,0,notpickedup,Finance,Finance,Internal,0.5,0.0
337,382,2026-06-16 10:19:08,387,pickedup,Transport,Transport,Internal,0.5,3.23
391,495,2026-01-01 18:08:11,396,pickedup,Finance,Marketing,Internal,0.5,3.3
443,340,2026-07-23 13:07:56,1283,pickedup,Marketing,IT,Internal,0.5,10.69
473,327,2026-06-09 13:56:31,864,pickedup,Marketing,Transport,Internal,0.5,7.2
380,402,2026-01-14 17:35:56,0,engaged,Transport,IT,Internal,0.5,0.0
482,329,2026-04-19 15:50:44,1726,pickedup,IT,IT,Internal,0.5,14.38
327,382,2026-03-06 00:55:47,1456,pickedup,Transport,Transport,Internal,0.5,12.13
413,456,2026-01-28 08:36:26,208,pickedup,Transport,Finance,Internal,0.5,1.73
384,496,2026-07-25 20:20:03,1722,pickedup,IT,Transport,Internal,0.5,14.35
362,471,2026-05-21 05:33:45,484,pickedup,Transport,IT,Internal,0.5,4.03
329,356,2026-03-11 01:35:22,968,pickedup,IT,IT,Internal,0.5,8.07
365,339,2026-04-29 09:54:10,86,pickedup,Transport,Marketing,Internal,0.5,0.72
394,331,2026-06-29 09:22:04,0,engaged,Manufacturing,Marketing,Internal,0.5,0.0
476,472,2026-05-07 05:30:07,1677,pickedup,Marketing,Transport,Internal,0.5,13.97
392,439,2026-01-06 23:10:34,0,notpickedup,Transport,IT,Internal,0.5,0.0
412,447,2026-01-14 04:54:09,1761,pickedup,Finance,Finance,Internal,0.5,14.68
402,491,2026-02-25 01:50:24,511,pickedup,IT,Manufacturing,Internal,0.5,4.26
384,494,2026-02-04 16:16:37,1264,pickedup,IT,Transport,Internal,0.5,10.53
318,466,2026-04-28 07:34:11,255,pickedup,Transport,Transport,Internal,0.5,2.12
494,459,2026-03-13 09:57:35,814,pickedup,Transport,Marketing,Internal,0.5,6.78
456,495,2026-05-16 14:16:09,1762,pickedup,Finance,Marketing,Internal,0.5,14.68
473,496,2026-07-26 12:23:09,127,pickedup,Marketing,Transport,Internal,0.5,1.06
475,500,2026-06-22 04:22:26,1599,pickedup,Finance,Finance,Internal,0.5,13.32
469,384,2026-01-01 11:42:05,388,pickedup,Manufacturing,IT,Internal,0.5,3.23
368,344,2026-06-08 04:58:58,0,engaged,IT,IT,Internal,0.5,0.0
455,307,2026-07-09 09:28:58,1489,pickedup,IT,Transport,Internal,0.5,12.41
347,479,2026-06-23 18:04:10,0,notpickedup,Finance,Manufacturing,Internal,0.5,0.0
400,456,2026-05-08 17:07:28,171,pickedup,Marketing,Finance,Internal,0.5,1.43
335,347,2026-03-03 09:15:04,1106,pickedup,Manufacturing,Finance,Internal,0.5,9.22
481,343,2026-06-16 20:45:04,1379,pickedup,IT,Manufacturing,Internal,0.5,11.49
342,349,2026-03-29 03:17:16,713,pickedup,Finance,Marketing,Internal,0.5,5.94
389,495,2026-02-27 06:33:59,1041,pickedup,IT,Marketing,Internal,0.5,8.68
428,391,2026-02-27 18:45:34,0,notpickedup,Marketing,Finance,Internal,0.5,0.0
489,303,2026-02-05 06:22:53,1349,pickedup,Finance,Marketing,Internal,0.5,11.24
491,360,2026-02-20 08:55:21,670,pickedup,Manufacturing,IT,Internal,0.5,5.58
423,407,2026-01-10 05:13:57,273,pickedup,Manufacturing,Transport,Internal,0.5,2.27
366,331,2026-05-20 14:06:40,410,pickedup,Manufacturing,Marketing,Internal,0.5,3.42
422,475,2026-04-10 02:02:13,741,pickedup,Transport,Finance,Internal,0.5,6.17
443,340,2026-04-08 23:18:48,1623,pickedup,Marketing,IT,Internal,0.5,13.53
335,302,2026-07-23 20:13:54,1184,pickedup,Manufacturing,IT,Internal,0.5,9.87
304,389,2026-06-13 05:46:50,1280,pickedup,IT,IT,Internal,0.5,10.67
472,358,2026-02-27 18:34:00,1523,pickedup,Transport,IT,Internal,0.5,12.69
304,447,2026-04-03 06:55:25,0,engaged,IT,Finance,Internal,0.5,0.0
407,496,2026-03-28 06:23:04,0,notpickedup,Transport,Transport,Internal,0.5,0.0
384,476,2026-04-24 23:43:10,1558,pickedup,IT,Marketing,Internal,0.5,12.98
494,316,2026-04-01 09:31:49,776,pickedup,Transport,Manufacturing,Internal,0.5,6.47
427,479,2026-05-29 00:54:23,0,notpickedup,Manufacturing,Manufacturing,Internal,0.5,0.0
313,402,2026-07-12 12:18:42,0,notpickedup,Finance,IT,Internal,0.5,0.0
392,447,2026-05-20 03:48:28,1135,pickedup,Transport,Finance,Internal,0.5,9.46
340,489,2026-01-09 19:23:41,1191,pickedup,IT,Finance,Internal,0.5,9.93
374,403,2026-06-15 11:34:08,329,pickedup,Finance,IT,Internal,0.5,2.74
368,382,2026-01-10 03:48:20,1401,pickedup,IT,Transport,Internal,0.5,11.68
328,408,2026-05-19 06:54:46,161,pickedup,Transport,IT,Internal,0.5,1.34
392,364,2026-03-26 14:19:51,295,pickedup,Transport,Manufacturing,Internal,0.5,2.46
447,337,2026-07-26 04:08:29,369,pickedup,Finance,Transport,Internal,0.5,3.08
471,339,2026-02-16 22:38:06,243,pickedup,IT,Marketing,Internal,0.5,2.02
302,319,2026-04-06 05:16:33,0,notpickedup,IT,IT,Internal,0.5,0.0
377,344,2026-04-17 14:35:19,0,notpickedup,Marketing,IT,Internal,0.5,0.0
422,466,2026-03-08 17:59:54,0,notpickedup,Transport,Transport,Internal,0.5,0.0
303,402,2026-07-20 10:42:34,0,engaged,Marketing,IT,Internal,0.5,0.0
327,392,2026-07-19 09:53:09,204,pickedup,Transport,Transport,Internal,0.5,1.7
459,391,2026-02-26 05:57:22,270,pickedup,Marketing,Finance,Internal,0.5,2.25
360,368,2026-05-18 11:43:59,1542,pickedup,IT,IT,Internal,0.5,12.85
326,482,2026-07-30 07:55:23,0,notpickedup,Finance,IT,Internal,0.5,0.0
350,351,2026-07-02 00:52:40,1714,pickedup,Transport,Manufacturing,Internal,0.5,14.28
303,302,2026-05-28 10:04:32,1313,pickedup,Marketing,IT,Internal,0.5,10.94
353,402,2026-01-31 05:45:11,0,notpickedup,Finance,IT,Internal,0.5,0.0
416,479,2026-07-20 23:17:52,0,engaged,Finance,Manufacturing,Internal,0.5,0.0
335,362,2026-04-05 01:25:42,408,pickedup,Manufacturing,Transport,Internal,0.5,3.4
366,347,2026-01-15 09:22:58,1793,pickedup,Manufacturing,Finance,Internal,0.5,14.94
469,389,2026-01-25 14:34:47,1662,pickedup,Manufacturing,IT,Internal,0.5,13.85
351,342,2026-07-06 11:11:07,0,notpickedup,Manufacturing,Finance,Internal,0.5,0.0
392,326,2026-02-22 14:11:37,0,notpickedup,Transport,Finance,Internal,0.5,0.0
445,340,2026-04-30 05:22:27,556,pickedup,IT,IT,Internal,0.5,4.63
371,388,2026-03-02 03:01:39,853,pickedup,IT,Transport,Internal,0.5,7.11
473,392,2026-04-17 01:59:43,590,pickedup,Marketing,Transport,Internal,0.5,4.92
475,340,2026-08-13 15:02:20,0,notpickedup,Finance,IT,Internal,0.5,0.0
331,374,2026-03-21 02:41:39,0,engaged,Marketing,Finance,Internal,0.5,0.0
313,426,2026-03-26 16:53:50,1452,pickedup,Finance,Marketing,Internal,0.5,12.1
394,469,2026-08-03 06:57:06,1050,pickedup,Manufacturing,Manufacturing,Internal,0.5,8.75
344,335,2026-08-09 08:00:31,0,notpickedup,IT,Manufacturing,Internal,0.5,0.0
491,402,2026-08-10 10:38:46,1375,pickedup,Manufacturing,IT,Internal,0.5,11.46
407,489,2026-06-12 23:28:15,0,notpickedup,Transport,Finance,Internal,0.5,0.0
475,328,2026-01-24 18:51:18,0,engaged,Finance,Transport,Internal,0.5,0.0
365,388,2026-03-28 14:32:48,1430,pickedup,Transport,Transport,Internal,0.5,11.92
423,496,2026-06-27 08:13:50,484,pickedup,Manufacturing,Transport,Internal,0.5,4.03
496,329,2026-03-22 03:28:52,239,pickedup,Transport,IT,Internal,0.5,1.99
340,413,2026-06-29 07:14:18,0,notpickedup,IT,Transport,Internal,0.5,0.0
320,392,2026-06-07 12:55:59,1546,pickedup,Manufacturing,Transport,Internal,0.5,12.88
